event_name,city_name,date,time,latitude,longitude
Line develop,Michaelberg,2024-03-22,08:00:00,-12.27142964,129.4259568
Behind try possible,Mcgeehaven,2024-04-28,16:30:00,18.35264687,-165.8875948
Tell in,South Cameronstad,2024-04-14,11:30:00,-61.65202698,-127.7662081
Able stay,North Vincentton,2024-04-24,15:30:00,-4.759246529,-141.3906647
Fire whether none,Cookfort,2024-04-21,12:30:00,-41.75218425,-164.7310467
Hear let speak,New Rachelview,2024-03-31,15:00:00,73.12845348,-174.3144683
Morning evening,Simpsonmouth,2024-04-08,12:30:00,41.63678724,-11.23210547
Network still camera,New Amandastad,2024-03-22,19:30:00,-13.46506686,-30.84532989
Success source,Jameshaven,2024-04-26,07:00:00,-59.39081286,-36.45382781
Be until,East Julieport,2024-03-29,11:00:00,6.69590914,138.1691019
Mind able magazine,Lake Katherine,2024-04-05,23:00:00,-46.45151252,179.0800692
Real gas but,Cooperberg,2024-04-26,19:00:00,-80.19055701,69.112656
Build successful democratic article,South Misty,2024-03-20,14:30:00,3.839877473,27.20026595
Without though,West Mary,2024-03-31,18:00:00,-55.63578373,-115.0118307
The spend cultural,Mathismouth,2024-03-31,16:30:00,-14.84180243,-47.40506892
Under difficult rate,Terrenceberg,2024-03-27,10:30:00,38.19257048,-150.4392348
Hear,West Brendanport,2024-04-22,03:30:00,84.66440053,151.874648
Center network,Lake Sharonshire,2024-04-26,18:00:00,23.90941725,52.71203108
Bring new,Perezmouth,2024-04-19,22:30:00,89.00913543,-127.4608564
Approach someone book,Harrisside,2024-04-22,15:30:00,48.69255803,-149.6061779
Stuff TV,New Aaron,2024-03-13,16:30:00,-44.96926031,125.4693893
Hospital campaign tell,West Erika,2024-03-27,04:30:00,67.92908052,-16.20194092
Wrong oil,Fernandezland,2024-03-06,21:00:00,84.3272369,-7.419388401
Understand price,Port Zachary,2024-04-17,04:00:00,49.03782791,123.3956075
Involve describe,Port Jessica,2024-03-19,13:30:00,8.621594894,154.8151514
Ground already,Kimview,2024-03-24,04:30:00,43.62785448,-36.51854733
Professor per,Jeffreyville,2024-04-01,07:00:00,-20.88150721,-113.8668142
Air quickly home,Lawrenceview,2024-03-16,13:00:00,-73.22990594,-69.50440271
If responsibility affect threat,Jesusberg,2024-04-23,16:00:00,-26.41594131,-121.1434493
Billion many edge,Port Markton,2024-03-27,16:00:00,-65.390358,-26.97275268
Democrat seat nor,South Mark,2024-03-18,09:30:00,-75.65009019,-139.2858125
Parent recognize,East Teresa,2024-03-19,01:00:00,-88.28790044,-162.6553763
Occur surface start,Meyerton,2024-04-14,06:30:00,6.737795017,-41.65755708
Exactly approach operation represent,North Jenniferstad,2024-04-17,03:00:00,48.91539958,169.6679959
Under describe,North Williamview,2024-04-15,11:30:00,11.63930835,-170.5010396
Even continue,Fullerview,2024-03-09,21:00:00,87.72581059,15.92932944
Forget music for,Amandamouth,2024-04-27,16:30:00,-39.74365177,-24.39254498
Cut tend nation,Wattsview,2024-03-03,18:00:00,-9.066199078,-163.5164719
Camera,Kelleyborough,2024-03-22,23:30:00,-6.173301323,93.96025794
Physical his,Carlosfort,2024-04-23,03:00:00,59.70892668,128.0198019
Respond,Lake Kristina,2024-03-23,03:30:00,-56.97856757,143.2761426
Hospital,North Samanthaville,2024-04-24,19:30:00,45.710943,107.399514
Stop bit,East Markmouth,2024-04-17,23:00:00,82.11377145,-174.1622014
Phone city,Riveraberg,2024-03-16,07:30:00,-6.82438216,117.4580947
May analysis range like,Reidshire,2024-04-21,20:00:00,-61.89942771,29.1349519
Create success,New Susanmouth,2024-03-16,04:30:00,-33.81901258,-69.26618933
National discuss door,Port Latasha,2024-03-01,19:30:00,-63.82813604,86.54328467
Whatever create important,Lindseytown,2024-03-06,07:30:00,-55.8333049,-153.6733545
Resource case,Kristenchester,2024-04-03,05:00:00,-50.02856609,24.40754434
Than sort work,Howardton,2024-04-10,20:00:00,-59.37119391,21.48678668
Establish perform,North Lydia,2024-04-22,05:30:00,58.86980002,-163.3489536
Condition character,East Jasmine,2024-04-22,01:00:00,-45.50464394,-112.0718053
Green option,South Andrew,2024-03-27,04:30:00,-87.77987647,-48.19459463
Word impact,West Jacobland,2024-03-10,09:00:00,-20.34449982,130.0955633
Off father,Lake Kirsten,2024-04-08,04:30:00,-14.93171674,-48.42093734
Character wall catch,Jessicaport,2024-04-07,01:30:00,-70.60315568,10.67871777
Their,North Ericfort,2024-03-03,05:30:00,-84.00851728,-85.09481204
Decide begin,Dunlapfort,2024-03-04,07:00:00,65.21065743,-51.11126115
Structure support choice,Fryland,2024-03-15,23:30:00,25.5169968,-173.2257004
Beat under economy treat,Port Michael,2024-03-13,11:00:00,-84.68960393,-152.4957539
Look imagine against,Rayville,2024-03-26,18:30:00,-69.06369013,16.18700148
Mention happy site,South Tammyside,2024-04-22,22:00:00,12.04618546,33.7261858
Over light of,South Natasha,2024-03-11,22:30:00,-26.89615496,-96.23530488
Since similar nearly,Smithmouth,2024-04-17,13:30:00,-3.920357344,113.5809348
Nor particularly practice,Lake Perryville,2024-04-10,12:30:00,-24.60845298,-113.7300607
Act federal,Johnshire,2024-04-19,10:00:00,-3.246968292,58.96189447
Down model manager several,South Bryanland,2024-04-06,16:30:00,-57.64270843,4.22137252
Fire ball technology,Murphymouth,2024-04-05,03:30:00,75.58840065,-113.0875818
Weight perform loss,Bridgetmouth,2024-04-10,12:00:00,80.22126402,172.3482569
Effect conference,Lopezmouth,2024-04-15,02:30:00,40.62383297,46.04888001
Book me summer,Summerschester,2024-04-02,15:30:00,10.58727038,-6.530979087
Religious father future,New Mark,2024-04-22,22:00:00,-63.28586031,163.3479983
Organization party notice,New Greg,2024-04-10,13:00:00,-74.63377031,-40.37482833
Crime arm,Alexanderbury,2024-03-31,20:30:00,-8.637912075,71.08606552
Performance maybe conference,East Ryan,2024-04-17,04:30:00,-72.78074827,-162.3392683
Often hot,Lucasshire,2024-03-05,20:30:00,78.79589806,76.73251004
Plant PM,Russellmouth,2024-04-08,17:00:00,21.25410766,-168.0233171
Officer year structure,Greenburgh,2024-04-28,17:00:00,41.52642746,138.7479973
Carry somebody class,Matthewstad,2024-04-14,23:30:00,66.55497534,-79.81420223
South send,Thompsonborough,2024-03-30,04:00:00,-42.20725911,24.74998517
Safe at,South Jesseport,2024-04-17,05:30:00,15.37673887,160.6473223
Party development available,Port Alexander,2024-03-15,23:30:00,-49.96912692,5.613567049
Run mission budget,South Brittany,2024-03-13,08:30:00,-1.706964941,1.112971665
Tv number,Patrickville,2024-04-26,19:30:00,-44.67174919,8.744567508
Also during,Walkerborough,2024-03-08,20:00:00,-81.69076572,88.33743021
